id,name,year_founded,country,industry,founder_count,founder_experience,previous_startups,product_stage,product_uniqueness,competitors_count,revenue,burn_rate,total_investment,active_users,user_growth_rate,retention,user_reviews,nps,innovation_score,financial_stability,risk_score,cash_reserves,market_size,market_growth_rate,success
1,"Rodriguez, Figueroa and Sanchez",2011,UK,FinTech,2,17,1,Maturity,10,6,2175040.67,1999277.31,3881225.36,540807.0,15.0,29.35,62,-88,6,4.0,9,0.0,967766266.63,12.69,Success
2,Doyle Ltd,2024,USA,HealthTech,4,14,0,MVP,2,8,7119846.46,390718.52,7470866.89,35224.0,67.86,70.56,45,-96,5,5.0,1,6948891.52,251236849.87,15.37,Fail
3,"Mcclain, Miller and Henderson",2019,India,IoT,4,18,0,Scale,7,3,9142672.45,15850.92,8109394.31,320088.0,20.01,39.93,30,75,0,1.0,5,8097246.66,607639179.58,42.98,Fail
4,Davis and Sons,2015,France,FoodTech,4,0,0,Scale,0,10,2674813.86,380258.72,6189328.28,285641.0,22.69,0.4,40,60,9,5.0,4,5086146.4,749275425.3,29.17,Fail
5,"Guzman, Hoffman and Baldwin",2012,France,E-Commerce,1,4,1,Idea,3,5,233359.85,1773684.75,10294505.71,94269.8,57.49,93.78,11,-69,5,6.0,0,5717098.75,805302512.56,12.2,Success
6,"Gardner, Robinson and Lawrence",2011,Germany,E-Commerce,5,14,0,Idea,7,8,104414.55,290297.99,7559964.65,92727.20000000001,96.73,14.96,16,80,0,1.0,9,6765652.61,783912722.89,15.5,Success
7,Blake and Sons,2023,UK,CleanTech,2,2,1,Idea,9,10,266806.68,957949.56,19407292.92,42156.100000000006,91.39,14.86,17,5,10,0.0,2,16768507.14,576603962.58,7.29,Unclear
8,"Henderson, Ramirez and Lewis",2015,Singapore,IoT,4,0,0,Growth,3,10,5357922.62,838552.36,16147009.09,120784.0,86.45,81.84,65,-80,4,5.0,3,15184486.16,41283934.74,2.21,Fail
9,Garcia-James,2015,UK,FoodTech,2,7,1,Idea,1,4,832716.29,1331450.64,18619546.92,92862.1,53.09,33.55,87,93,5,7.0,0,15181176.92,994037370.32,25.49,Fail
10,Abbott-Munoz,2008,Australia,SaaS,1,11,0,Maturity,1,0,2788002.63,109191.17,11148538.92,562562.0,29.78,32.82,91,88,6,10.0,10,10857234.54,123724089.81,1.59,Fail
11,Blair PLC,2012,Canada,FoodTech,5,18,0,Idea,3,2,621144.39,1317500.34,13566792.57,45056.8,70.58,62.24,38,81,7,5.0,7,11402457.18,189014073.79,49.6,Unclear
12,Dudley Group,2007,USA,E-Commerce,1,11,1,Idea,3,10,479590.7,709503.29,3333527.5,7493.1,38.96,5.9,73,-60,8,7.0,2,2002660.29,826190287.49,38.62,Unclear
13,Arnold Ltd,2006,USA,IoT,2,12,1,MVP,1,8,2885790.41,1852079.12,15055715.14,272057.0,77.79,23.7,32,-14,5,5.0,4,11847008.72,109570156.49,38.89,Unclear
14,"Mcclure, Ward and Lee",2016,UK,EdTech,5,0,0,Maturity,6,2,5103590.81,1697774.66,4719422.22,187835.0,1.62,5.33,87,65,10,2.5,2,4637789.19,221218981.41,37.73,Success
15,Williams and Sons,2010,France,IoT,5,18,0,Idea,5,10,167962.4,799012.5,2916658.55,92628.90000000001,52.95,29.15,74,60,6,7.0,3,1632966.22,30098871.19,32.06,Success
16,Galloway-Wyatt,2006,France,CleanTech,1,5,1,Scale,10,10,6395775.6,1985783.69,837186.97,470704.0,33.74,86.99,7,35,3,1.0,8,611780.28,165104138.45,3.5,Unclear
17,James Group,2005,Singapore,CleanTech,4,7,0,Maturity,2,9,1156627.21,103887.51,9444604.99,893533.0,24.9,90.93,90,-65,9,2.0,2,9304022.19,662370411.3,22.8,Fail
18,"Flowers, Martin and Kelly",2016,Australia,Blockchain,2,3,1,Maturity,7,1,7309805.25,1577264.44,5735785.19,219012.0,66.18,30.94,25,-68,6,5.0,7,5519608.14,366930594.36,13.95,Success
19,"Adams, Zuniga and Wong",2016,USA,HealthTech,3,4,1,Growth,7,3,1777126.78,867673.05,19734543.45,296381.0,65.84,18.76,75,-72,9,3.0,5,18549238.94,143782913.02,14.91,Unclear
20,"Reid, Ferguson and Sanchez",2021,Singapore,SaaS,3,6,0,Scale,0,4,9981591.53,866610.29,4996686.04,79987.0,3.71,13.53,34,-6,0,6.0,5,4204390.33,271356751.04,18.54,Fail
21,Gray-Mayo,2014,France,CleanTech,1,3,1,Scale,2,6,8236725.95,340267.6,17330865.61,181919.0,94.77,39.44,56,-44,2,10.0,0,16540840.67,756140266.47,16.03,Success
22,"Watts, Robinson and Nguyen",2020,Singapore,CleanTech,2,19,0,Growth,4,6,3438403.04,1029759.84,6328775.38,555252.0,36.19,82.64,78,-29,0,6.0,10,4848698.16,561278134.71,33.11,Success
23,Perez Inc,2019,Canada,Blockchain,2,3,1,Maturity,1,8,4262047.72,169436.99,14982537.05,361754.0,91.74,85.27,20,88,10,8.0,6,14722233.59,481283203.47,0.37,Unclear
24,Morales-Jones,2019,France,E-Commerce,1,14,1,Scale,4,7,2591910.21,1233154.36,13196826.2,267476.0,58.37,4.59,36,-11,7,1.0,3,9853673.45,56191498.17,18.31,Fail
25,"Walter, Edwards and Rios",2023,Israel,E-Commerce,2,20,0,Growth,10,1,7671145.61,483180.88,11235671.09,550551.0,65.26,20.92,93,13,2,10.0,7,10536558.74,516608600.27,47.22,Unclear
26,Wilkerson-Day,2016,Australia,FoodTech,4,4,1,Growth,9,7,3807269.7,1449716.09,8336498.87,759461.0,96.05,20.32,4,82,6,1.0,8,7656415.41,486712887.78,12.89,Fail
27,Baker and Sons,2024,India,SaaS,1,8,0,Growth,2,7,7551855.1,1214723.04,13422100.26,309698.0,82.22,82.84,16,79,1,5.0,1,13011849.07,448440073.84,31.07,Success
28,"Hoffman, Baker and Richards",2007,USA,IoT,4,1,1,Growth,8,4,184015.55,1492810.02,8145567.0,675727.0,14.0,45.63,89,14,4,8.0,7,6775964.01,492617638.89,28.02,Success
29,"Ross, Robinson and Bright",2009,Germany,HealthTech,2,6,1,MVP,10,2,1356209.6,1499484.14,10962004.69,667278.0,0.52,36.84,97,70,2,6.0,10,9768218.85,83553627.66,24.46,Success
30,"Snyder, Campos and Callahan",2023,Canada,FinTech,1,16,1,Growth,0,8,3649743.35,393418.09,11796034.74,893976.0,30.86,95.66,96,25,9,5.0,7,10830002.19,933680622.28,6.11,Success
31,Burton Ltd,2011,China,EdTech,2,15,1,Scale,3,6,1089085.33,1349.46,5347104.4,214727.0,48.85,92.54,81,23,2,4.0,5,5344032.15,313071554.5,41.79,Fail
32,Carlson-Cruz,2013,India,Blockchain,1,16,0,Scale,9,0,6011279.92,731522.52,6794729.55,839912.0,73.21,44.01,24,53,4,7.0,2,6666075.67,655990910.58,28.36,Fail
33,"Ferrell, Rice and Maddox",2011,Germany,HealthTech,2,19,1,Maturity,5,7,508320.99,1838138.43,361001.27,194051.0,66.1,12.83,60,15,7,0.5,4,0.0,365395915.5,26.93,Fail
34,Frazier Inc,2022,France,FinTech,4,1,1,Idea,8,9,859762.99,1155798.77,17043179.87,15081.5,31.29,17.1,93,2,1,2.0,1,15486924.05,334656689.92,47.46,Fail
35,"Dyer, Potter and Mack",2008,China,EdTech,4,10,1,Growth,2,4,7613079.99,1455004.01,15119662.89,467628.0,54.2,11.21,36,-99,10,5.0,5,14739041.2,727747759.22,4.14,Fail
36,Rodriguez-Graham,2018,UK,CleanTech,2,1,0,Growth,2,5,2162564.79,1759140.68,3670609.07,71863.0,65.09,68.05,83,82,3,0.0,2,2793407.74,424586526.91,24.58,Fail
37,Smith-Bowen,2022,UK,IoT,1,0,0,Idea,4,8,483791.91,1812116.5,7240969.0,30949.800000000003,51.38,55.47,65,-11,3,7.0,3,2302343.06,619715560.28,35.3,Success
38,"Baker, Mason and White",2013,Canada,SaaS,3,1,0,Idea,6,9,451813.08,1058050.31,8421389.66,15798.6,68.9,55.66,12,-83,10,10.0,8,6703550.09,281482568.43,39.86,Fail
39,Harrell LLC,2006,UK,CleanTech,4,8,0,Scale,4,7,7248646.15,1081884.17,6687573.84,484276.0,48.52,9.84,39,77,4,10.0,9,4101939.09,272809804.83,0.04,Success
40,"Romero, Gonzalez and Brooks",2024,China,FoodTech,4,1,1,Scale,10,10,4015089.0,1701877.68,15964856.13,39709.0,52.97,79.33,41,-56,5,8.0,4,14277195.7,207071919.18,34.11,Success
41,Ryan PLC,2019,China,AI,3,14,1,MVP,7,2,329352.98,1614970.87,14508414.12,486758.0,94.08,53.56,83,-86,8,1.0,6,12692590.65,307904215.02,47.79,Fail
42,George Group,2011,Australia,HealthTech,2,9,1,Idea,4,4,273735.86,1397717.2,15343174.6,99390.3,38.92,9.1,69,34,4,8.0,8,11743972.67,74253713.76,36.51,Fail
43,Rodriguez LLC,2016,India,IoT,1,14,0,Maturity,6,3,4661958.05,1208928.59,18082601.02,491824.0,75.57,74.71,74,54,9,4.0,4,15699146.81,87024337.46,20.95,Fail
44,Allen-Allen,2012,USA,AI,2,9,0,Idea,5,0,974492.22,1234430.21,11903025.12,6793.3,33.47,98.13,24,-61,7,7.0,0,9390781.72,854380564.56,43.8,Success
45,"Arroyo, Miller and Tucker",2019,Israel,FinTech,5,16,1,Maturity,9,4,8811586.67,725822.69,12290686.58,518096.0,33.19,44.12,41,-84,4,0.0,1,10899413.57,287070281.81,43.93,Fail
46,Spence PLC,2007,Singapore,HealthTech,4,8,1,Growth,1,9,1814061.44,1681835.49,14438682.39,277842.0,92.67,11.57,9,59,2,0.0,2,11708386.72,542948933.7,34.41,Success
47,Anderson Group,2018,UK,Blockchain,5,17,1,MVP,2,6,7232759.4,1235559.41,13624651.89,677811.0,69.87,10.14,94,43,5,3.0,2,9950854.55,501463534.28,33.3,Fail
48,"Martin, Rose and Obrien",2021,Canada,FoodTech,4,3,0,Growth,10,0,9368254.73,447056.12,17396260.37,505296.0,92.9,2.59,42,90,3,0.0,0,16196975.57,637848679.3,17.22,Success
49,Hickman Ltd,2008,UK,IoT,4,8,1,Scale,10,3,87926.13,479686.56,15403964.12,105463.0,99.46,77.04,67,-23,4,0.0,8,14380931.85,651462120.13,12.13,Fail
50,"Harris, Collins and Carney",2022,Singapore,FinTech,5,15,1,Maturity,3,5,7209456.74,1723206.03,2409172.33,667777.0,0.02,69.4,88,87,7,2.0,8,0.0,373117078.84,31.49,Fail
51,"Brooks, Lam and Hayes",2012,India,FinTech,5,3,0,Scale,4,10,4593334.96,1251415.09,18567172.31,819386.0,98.32,58.42,27,4,10,1.0,3,18250821.56,142096651.88,0.39,Unclear
52,Walker LLC,2008,Australia,E-Commerce,2,15,0,Maturity,8,8,6802361.96,797408.26,13661985.81,849316.0,10.09,76.56,23,-19,10,3.0,8,12501317.02,185639024.47,42.15,Success
53,Chapman and Sons,2006,China,EdTech,5,18,1,Scale,5,10,6055892.74,374201.52,2542918.52,425455.0,7.04,99.93,98,-15,3,7.0,3,1986098.9,365731397.7,45.13,Success
54,"Robinson, Jones and Welch",2010,Australia,SaaS,2,0,0,MVP,0,7,9846654.94,1220431.95,15439474.71,329244.0,76.78,40.18,40,79,6,10.0,7,15249309.85,564508590.98,8.2,Unclear
55,Jones Inc,2014,France,FinTech,2,5,1,Idea,2,1,288815.41,368620.76,7168250.59,69494.1,35.02,70.58,60,-21,2,5.0,2,6332659.47,618104244.66,28.63,Fail
56,Jones-Young,2008,UK,FoodTech,2,9,1,Growth,6,10,7861429.82,940334.06,16119558.24,886645.0,91.78,37.72,4,-52,3,1.0,8,16114011.07,933032013.6,8.91,Fail
57,"Washington, Ryan and Cummings",2022,USA,AI,4,15,1,Idea,7,2,234639.89,1355021.07,19108118.86,48561.0,54.45,35.21,96,-52,7,2.0,10,17379617.54,312168264.23,24.73,Success
58,"Johnston, Sanchez and Kennedy",2016,France,IoT,4,3,1,Growth,6,9,4356079.78,1130830.87,5104840.72,631061.0,38.61,85.09,10,53,7,1.0,10,2040567.8,118201966.74,31.92,Success
