startup_id,retention_d1,retention_d7,retention_d30,sessions_per_user,time_in_app_minutes,actions_per_session,app_rating,nps,user_growth_rate,viral_coefficient,organic_percentage
1,56.22,47.55,29.88,10.49,44.07,3.68,3.03,-88,15.0,1.22,44.11
2,96.55,53.14,26.96,15.19,11.89,2.76,2.49,-96,67.86,0.08,14.14
3,81.24,79.82,31.86,11.69,21.45,18.52,3.74,75,20.01,1.22,33.33
4,71.91,43.8,54.81,2.58,40.13,29.02,2.1,60,22.69,0.18,21.07
5,40.92,80.88,37.17,4.53,29.44,15.58,3.0,-69,57.49,1.42,41.14
6,40.92,26.17,70.88,5.17,44.58,2.49,3.72,80,96.73,0.78,33.96
7,34.07,74.38,18.2,5.9,57.71,7.42,3.2,5,91.39,1.68,48.22
8,90.63,79.33,45.66,11.74,7.88,8.1,2.67,-80,86.45,1.89,63.99
9,72.08,32.73,66.17,10.58,42.86,10.8,3.57,93,53.09,0.83,51.62
10,79.57,50.12,65.57,4.86,14.59,2.26,2.5,88,29.78,0.92,40.28
11,31.44,31.58,72.1,2.28,25.45,27.24,3.0,81,70.58,1.18,81.86
12,97.89,69.46,52.03,4.26,2.94,15.95,4.12,-60,38.96,0.39,47.76
13,88.27,57.47,66.84,19.7,9.02,20.46,4.48,-14,77.79,1.85,84.43
14,44.86,64.47,39.83,9.9,19.87,2.95,3.21,65,1.62,0.87,78.22
15,42.73,33.75,48.98,17.48,21.18,2.57,2.43,60,52.95,0.33,22.28
16,42.84,34.82,19.59,17.13,54.08,18.01,3.16,35,33.74,1.53,56.84
17,51.3,22.9,11.19,10.72,44.77,26.73,1.0,-65,24.9,0.44,40.87
18,66.73,42.54,24.01,14.43,58.36,16.33,1.39,-68,66.18,0.29,33.64
19,60.24,59.18,15.89,4.66,36.35,26.46,2.81,-72,65.84,1.13,24.45
20,50.39,80.06,30.09,14.08,15.26,24.52,1.94,-6,3.71,1.34,78.55
21,72.83,66.68,22.39,6.18,20.33,3.2,3.7,-44,94.77,1.14,31.12
22,39.76,50.48,15.28,16.81,19.87,6.86,2.1,-29,36.19,1.31,89.41
23,50.45,86.72,73.96,2.59,20.26,20.07,3.01,88,91.74,0.23,59.16
24,55.65,70.35,15.58,15.69,40.7,13.86,2.76,-11,58.37,0.95,57.82
25,61.92,85.11,58.26,2.9,32.32,9.43,3.77,13,65.26,0.71,27.45
26,84.96,56.93,31.08,17.74,23.74,13.14,2.34,82,96.05,1.95,68.67
27,43.98,38.12,73.4,6.78,9.8,13.91,2.41,79,82.22,0.1,24.94
28,66.0,23.7,67.12,13.43,2.31,27.41,3.95,14,14.0,0.6,31.85
29,71.47,70.83,58.22,10.26,13.91,4.0,2.43,70,0.52,1.88,87.52
30,33.25,28.49,55.65,7.96,7.34,9.11,2.05,25,30.86,1.97,60.49
31,72.53,41.19,18.14,13.26,47.34,16.59,2.62,23,48.85,1.65,60.14
32,41.94,57.27,75.39,19.0,7.64,21.25,2.14,53,73.21,0.15,62.39
33,34.55,59.51,66.36,1.78,43.73,19.29,4.49,15,66.1,1.12,29.37
34,96.42,62.04,66.29,18.46,23.75,28.31,3.56,2,31.29,0.8,56.46
35,97.59,31.64,45.0,12.57,5.33,24.07,4.3,-99,54.2,1.61,67.62
36,86.59,46.58,41.87,16.34,48.95,17.16,2.16,82,65.09,0.11,35.44
37,51.32,63.2,65.16,8.29,35.2,7.23,4.51,-11,51.38,0.39,65.19
38,36.84,87.89,25.68,9.97,14.91,14.08,1.56,-83,68.9,0.98,81.08
39,77.9,70.93,53.67,17.51,53.79,21.11,1.55,77,48.52,0.32,41.05
40,60.81,84.58,17.1,8.88,3.67,25.3,1.05,-56,52.97,1.39,56.52
41,38.54,73.35,60.75,11.16,12.91,28.83,3.12,-86,94.08,1.64,63.25
42,64.66,61.42,26.6,1.38,45.37,18.56,1.23,34,38.92,1.41,73.69
43,32.41,33.44,32.91,4.01,42.85,16.28,2.52,54,75.57,0.88,62.3
44,93.65,66.67,42.38,13.19,18.07,1.51,2.35,-61,33.47,1.76,47.39
45,48.11,63.64,52.07,14.62,4.66,3.09,2.59,-84,33.19,0.28,15.16
46,76.38,62.17,55.4,12.07,51.63,5.53,3.28,59,92.67,0.52,74.61
47,51.82,54.29,32.44,3.72,19.51,2.59,1.55,43,69.87,0.98,38.13
48,66.4,57.01,23.25,9.46,12.55,12.63,3.0,90,92.9,0.12,49.07
49,68.27,43.41,56.56,7.75,31.45,10.77,3.27,-23,99.46,0.19,62.06
50,42.94,56.35,78.13,10.42,54.7,19.48,4.45,87,0.02,0.79,37.84
51,97.87,33.83,61.68,17.54,3.57,16.53,2.72,4,98.32,1.89,75.35
52,84.26,76.36,40.25,15.74,46.18,18.28,4.08,-19,10.09,1.82,41.05
53,95.76,33.0,65.41,2.6,34.78,14.69,3.41,-15,7.04,0.93,82.08
54,92.64,25.95,45.27,17.92,26.1,9.05,4.01,79,76.78,0.28,14.93
55,71.85,50.54,43.72,9.96,44.9,28.63,1.48,-21,35.02,0.36,39.95
56,94.53,66.08,38.56,15.13,57.98,3.51,3.39,-52,91.78,0.76,52.15
57,36.19,50.64,36.91,3.66,14.52,28.23,3.61,-52,54.45,0.42,63.1
58,43.72,39.37,63.65,13.74,9.48,10.03,1.81,53,38.61,0.17,17.12
59,33.17,59.07,51.74,5.49,54.86,15.87,3.02,78,7.34,1.35,54.98
60,52.77,44.29,29.1,9.33,40.47,4.16,3.43,-58,46.46,1.16,43.33
61,57.21,85.3,27.98,1.32,26.84,3.06,2.69,-31,27.79,0.58,35.4
62,48.99,84.59,15.71,3.88,34.82,13.46,1.07,-30,7.66,1.56,79.43
63,88.01,55.17,41.3,2.75,44.99,22.51,3.4,-92,67.04,1.55,30.62
64,54.97,42.95,34.56,5.56,46.61,8.81,1.26,71,97.73,0.98,68.92
65,49.67,71.6,31.58,2.9,55.27,17.31,3.29,91,37.89,0.19,60.95
66,67.99,22.57,51.73,14.15,26.18,9.08,1.66,-11,29.73,1.84,91.34
67,39.86,53.23,46.23,1.55,18.31,12.27,1.95,-99,9.0,1.34,66.55
68,86.15,43.54,63.16,12.74,38.74,27.29,2.41,63,22.31,0.49,35.42
69,35.22,84.44,36.36,3.67,25.53,25.82,3.15,-98,28.5,1.22,52.23
70,99.08,20.84,72.55,18.96,36.08,15.96,4.52,81,34.42,0.81,80.24
71,84.06,58.7,72.28,18.73,25.78,7.91,2.16,48,63.4,1.27,81.58
72,43.91,71.85,68.73,5.28,10.03,6.6,2.1,94,11.49,0.95,50.42
73,30.39,53.95,44.23,12.67,28.7,28.67,2.55,-92,5.84,0.97,80.98
74,87.08,25.98,25.89,1.53,41.76,6.88,3.51,-89,93.06,1.47,80.92
75,79.48,88.07,78.96,18.7,48.16,24.44,3.19,99,79.92,1.23,82.18
76,81.03,56.26,36.47,10.94,30.11,11.7,2.04,64,27.82,0.16,52.43
77,83.99,62.99,32.47,1.82,10.75,29.58,2.63,64,63.88,0.13,62.99
78,35.18,36.56,41.0,7.51,25.47,11.68,2.04,3,59.25,0.61,72.33
79,55.09,53.84,26.7,2.46,47.39,11.19,2.03,94,74.3,0.86,25.7
80,38.11,50.04,67.2,8.47,25.36,19.49,2.81,-45,85.93,0.55,76.07
81,90.42,25.24,49.27,13.73,42.1,28.88,3.72,4,35.78,1.3,47.56
82,73.63,27.43,44.15,9.93,30.93,29.31,4.02,-38,66.08,0.39,40.57
83,53.16,78.62,56.96,8.29,15.23,21.51,3.67,53,80.2,1.41,78.01
84,34.45,36.79,39.43,3.26,47.97,22.88,2.6,-55,69.93,1.55,72.08
85,51.77,33.65,24.2,5.65,5.97,17.34,2.3,80,92.21,0.25,66.99
86,52.76,55.34,47.01,2.9,31.97,22.92,1.84,-41,49.47,1.3,51.76
87,81.07,73.81,50.59,16.34,13.32,25.93,3.69,-69,80.26,1.92,59.36
88,74.63,24.34,38.54,3.57,4.96,15.1,2.96,-10,90.97,0.39,14.78
89,92.1,60.38,65.53,12.31,30.67,18.98,4.17,89,55.71,1.82,63.43
90,63.06,28.34,34.63,7.51,30.47,16.58,1.65,74,1.73,1.21,70.8
91,38.37,22.55,25.19,5.29,42.71,17.31,3.21,-40,81.8,1.18,43.7
92,79.93,23.69,24.48,13.15,44.94,26.81,2.94,-7,84.6,0.1,37.71
93,83.25,78.39,39.31,9.68,43.94,11.31,1.98,31,39.99,1.5,43.27
94,69.29,28.26,65.75,8.6,25.16,7.04,3.61,29,22.91,0.96,70.03
95,83.97,23.16,66.36,12.26,38.27,14.23,4.31,50,97.81,1.44,32.45
96,64.57,50.65,33.76,10.33,35.04,7.03,3.82,-46,55.16,1.62,75.71
97,66.59,79.08,44.19,6.77,25.87,15.45,3.48,-60,51.62,1.05,46.59
98,59.93,38.37,63.97,11.62,36.24,27.2,1.74,95,94.61,0.53,17.53
99,31.78,49.52,34.63,13.72,56.89,18.91,3.55,64,40.81,0.28,65.02
100,37.55,22.79,28.46,1.51,12.38,25.81,2.87,38,84.81,0.32,42.54
101,32.2,51.44,75.48,9.85,54.44,5.82,2.74,63,70.07,1.73,70.77
102,74.55,60.43,43.7,2.1,4.15,27.13,2.02,-86,96.77,0.25,56.83
103,52.0,59.96,70.96,4.54,19.19,18.45,2.21,0,42.87,0.77,59.81
104,65.6,43.27,32.19,11.65,18.0,1.92,1.35,-34,90.76,0.67,63.07
105,93.53,42.09,56.25,17.46,37.96,19.36,3.7,11,56.89,1.73,80.99
